a,b,result
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,34,0
0,35,0
0,36,0
0,37,0
0,38,0
0,39,0
0,40,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,47,0
0,48,0
0,49,0
0,50,0
0,51,0
0,52,0
0,53,0
0,54,0
0,55,0
0,56,0
0,57,0
0,58,0
0,59,0
0,60,0
0,61,0
0,62,0
0,63,0
0,64,0
0,65,0
0,66,0
0,67,0
0,68,0
0,69,0
0,70,0
0,71,0
0,72,0
0,73,0
0,74,0
0,75,0
0,76,0
0,77,0
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
0,100,0
0,101,0
0,102,0
0,103,0
0,104,0
0,105,0
0,106,0
0,107,0
0,108,0
0,109,0
0,110,0
0,111,0
0,112,0
1,0,0
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
1,13,13
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,19
1,20,20
1,21,21
1,22,22
1,23,23
1,24,24
1,25,25
1,26,26
1,27,27
1,28,28
1,29,29
1,30,30
1,31,31
1,32,32
1,33,33
1,34,34
1,35,35
1,36,36
1,37,37
1,38,38
1,39,39
1,40,40
1,41,41
1,42,42
1,43,43
1,44,44
1,45,45
1,46,46
1,47,47
1,48,48
1,49,49
1,50,50
1,51,51
1,52,52
1,53,53
1,54,54
1,55,55
1,56,56
1,57,57
1,58,58
1,59,59
1,60,60
1,61,61
1,62,62
1,63,63
1,64,64
1,65,65
1,66,66
1,67,67
1,68,68
1,69,69
1,70,70
1,71,71
1,72,72
1,73,73
1,74,74
1,75,75
1,76,76
1,77,77
1,78,78
1,79,79
1,80,80
1,81,81
1,82,82
1,83,83
1,84,84
1,85,85
1,86,86
1,87,87
1,88,88
1,89,89
1,90,90
1,91,91
1,92,92
1,93,93
1,94,94
1,95,95
1,96,96
1,97,97
1,98,98
1,99,99
1,100,100
1,101,101
1,102,102
1,103,103
1,104,104
1,105,105
1,106,106
1,107,107
1,108,108
1,109,109
1,110,110
1,111,111
1,112,112
2,0,0
2,1,2
2,2,4
2,3,6
2,4,8
2,5,10
2,6,12
2,7,14
2,8,16
2,9,18
2,10,20
2,11,22
2,12,24
2,13,26
2,14,28
2,15,30
2,16,32
2,17,34
2,18,36
2,19,38
2,20,40
2,21,42
2,22,44
2,23,46
2,24,48
2,25,50
2,26,52
2,27,54
2,28,56
2,29,58
2,30,60
2,31,62
2,32,64
2,33,66
2,34,68
2,35,70
2,36,72
2,37,74
2,38,76
2,39,78
2,40,80
2,41,82
2,42,84
2,43,86
2,44,88
2,45,90
2,46,92
2,47,94
2,48,96
2,49,98
2,50,100
2,51,102
2,52,104
2,53,106
2,54,108
2,55,110
2,56,112
2,57,1
2,58,3
2,59,5
2,60,7
2,61,9
2,62,11
2,63,13
2,64,15
2,65,17
2,66,19
2,67,21
2,68,23
2,69,25
2,70,27
2,71,29
2,72,31
2,73,33
2,74,35
2,75,37
2,76,39
2,77,41
2,78,43
2,79,45
2,80,47
2,81,49
2,82,51
2,83,53
2,84,55
2,85,57
2,86,59
2,87,61
2,88,63
2,89,65
2,90,67
2,91,69
2,92,71
2,93,73
2,94,75
2,95,77
2,96,79
2,97,81
2,98,83
2,99,85
2,100,87
2,101,89
2,102,91
2,103,93
2,104,95
2,105,97
2,106,99
2,107,101
2,108,103
2,109,105
2,110,107
2,111,109
2,112,111
3,0,0
3,1,3
3,2,6
3,3,9
3,4,12
3,5,15
3,6,18
3,7,21
3,8,24
3,9,27
3,10,30
3,11,33
3,12,36
3,13,39
3,14,42
3,15,45
3,16,48
3,17,51
3,18,54
3,19,57
3,20,60
3,21,63
3,22,66
3,23,69
3,24,72
3,25,75
3,26,78
3,27,81
3,28,84
3,29,87
3,30,90
3,31,93
3,32,96
3,33,99
3,34,102
3,35,105
3,36,108
3,37,111
3,38,1
3,39,4
3,40,7
3,41,10
3,42,13
3,43,16
3,44,19
3,45,22
3,46,25
3,47,28
3,48,31
3,49,34
3,50,37
3,51,40
3,52,43
3,53,46
3,54,49
3,55,52
3,56,55
3,57,58
3,58,61
3,59,64
3,60,67
3,61,70
3,62,73
3,63,76
3,64,79
3,65,82
3,66,85
3,67,88
3,68,91
3,69,94
3,70,97
3,71,100
3,72,103
3,73,106
3,74,109
3,75,112
3,76,2
3,77,5
3,78,8
3,79,11
3,80,14
3,81,17
3,82,20
3,83,23
3,84,26
3,85,29
3,86,32
3,87,35
3,88,38
3,89,41
3,90,44
3,91,47
3,92,50
3,93,53
3,94,56
3,95,59
3,96,62
3,97,65
3,98,68
3,99,71
3,100,74
3,101,77
3,102,80
3,103,83
3,104,86
3,105,89
3,106,92
3,107,95
3,108,98
3,109,101
3,110,104
3,111,107
3,112,110
4,0,0
4,1,4
4,2,8
4,3,12
4,4,16
4,5,20
4,6,24
4,7,28
4,8,32
4,9,36
4,10,40
4,11,44
4,12,48
4,13,52
4,14,56
4,15,60
4,16,64
4,17,68
4,18,72
4,19,76
4,20,80
4,21,84
4,22,88
4,23,92
4,24,96
4,25,100
4,26,104
4,27,108
4,28,112
4,29,3
4,30,7
4,31,11
4,32,15
4,33,19
4,34,23
4,35,27
4,36,31
4,37,35
4,38,39
4,39,43
4,40,47
4,41,51
4,42,55
4,43,59
4,44,63
4,45,67
4,46,71
4,47,75
4,48,79
4,49,83
4,50,87
4,51,91
4,52,95
4,53,99
4,54,103
4,55,107
4,56,111
4,57,2
4,58,6
4,59,10
4,60,14
4,61,18
4,62,22
4,63,26
4,64,30
4,65,34
4,66,38
4,67,42
4,68,46
4,69,50
4,70,54
4,71,58
4,72,62
4,73,66
4,74,70
4,75,74
4,76,78
4,77,82
4,78,86
4,79,90
4,80,94
4,81,98
4,82,102
4,83,106
4,84,110
4,85,1
4,86,5
4,87,9
4,88,13
4,89,17
4,90,21
4,91,25
4,92,29
4,93,33
4,94,37
4,95,41
4,96,45
4,97,49
4,98,53
4,99,57
4,100,61
4,101,65
4,102,69
4,103,73
4,104,77
4,105,81
4,106,85
4,107,89
4,108,93
4,109,97
4,110,101
4,111,105
4,112,109
5,0,0
5,1,5
5,2,10
5,3,15
5,4,20
5,5,25
5,6,30
5,7,35
5,8,40
5,9,45
5,10,50
5,11,55
5,12,60
5,13,65
5,14,70
5,15,75
5,16,80
5,17,85
5,18,90
5,19,95
5,20,100
5,21,105
5,22,110
5,23,2
5,24,7
5,25,12
5,26,17
5,27,22
5,28,27
5,29,32
5,30,37
5,31,42
5,32,47
5,33,52
5,34,57
5,35,62
5,36,67
5,37,72
5,38,77
5,39,82
5,40,87
5,41,92
5,42,97
5,43,102
5,44,107
5,45,112
5,46,4
5,47,9
5,48,14
5,49,19
5,50,24
5,51,29
5,52,34
5,53,39
5,54,44
5,55,49
5,56,54
