a,b,result
71,4,58
99,97,111
7,59,74
102,16,50
1,42,42
0,31,0
13,84,75
108,48,99
34,42,72
26,55,74
29,7,90
112,86,27
107,16,17
7,0,0
64,50,36
107,76,109
48,108,99
85,111,56
101,2,89
12,28,110
64,38,59
31,112,82
96,36,66
6,78,16
62,75,17
1,0,0
86,2,59
98,55,79
4,21,84
49,34,84
13,104,109
63,81,18
49,111,15
99,24,3
59,53,76
27,75,104
80,112,33
29,75,28
7,56,53
69,79,27
11,38,79
60,28,98
87,112,26
44,62,16
31,103,29
60,30,105
97,35,5
97,27,20
6,87,70
3,69,94
38,15,5
91,62,105
90,37,53
50,3,37
80,38,102
92,75,7
4,32,15
91,37,90
33,53,54
38,30,10
99,21,45
49,14,8
19,56,47
21,3,63
71,13,19
15,43,80
3,80,14
30,9,44
29,30,79
44,5,107
80,14,103
56,104,61
110,39,109
98,24,92
95,69,1
24,63,43
53,43,19
77,98,88
81,7,2
85,106,83
64,18,22
3,43,16
20,90,105
18,72,53
28,49,16
94,12,111
78,111,70
3,37,111
106,27,37
54,37,77
40,106,59
87,89,59
76,11,45
56,74,76
69,77,2
17,63,54
28,22,51
24,57,12
90,18,38
54,91,55
24,59,60
65,54,7
101,100,43
1,108,108
5,58,64
41,34,38
108,34,56
57,28,14
41,32,69
54,60,76
109,0,0
9,40,21
57,72,36
63,104,111
106,41,52
65,103,28
95,100,8
12,8,96
84,6,52
75,58,56
72,67,78
110,46,88
77,45,75
31,41,28
37,67,106
90,21,82
77,17,66
23,101,63
74,62,68
79,68,61
32,46,3
22,53,36
62,100,98
13,2,26
19,91,34
19,29,99
29,29,50
99,60,64
51,14,36
46,65,52
70,10,22
7,90,65
36,0,0
96,111,34
1,14,14
48,9,93
62,109,91
97,5,33
25,38,46
112,49,64
72,41,14
31,18,106
62,22,8
11,112,102
21,11,5
22,58,33
64,64,28
78,48,15
90,29,11
69,86,58
107,20,106
98,84,96
48,89,91
90,87,33
50,31,81
25,70,55
104,93,67
106,31,9
62,105,69
98,60,4
11,53,18
15,16,14
19,28,80
85,27,35
68,58,102
48,20,56
79,46,18
2,24,48
17,26,103
26,65,108
26,22,7
97,63,9
36,83,50
12,66,1
50,96,54
28,79,65
106,46,17
78,65,98
95,16,51
62,7,95
82,68,39
50,93,17
90,30,101
89,11,75
37,72,65
87,59,48
87,10,79
14,31,95
61,67,19
33,54,87
49,87,82
64,105,53
66,98,27
51,48,75
68,87,40
106,17,107
93,56,10
11,44,32
17,24,69
73,95,42
68,39,53
16,32,60
71,0,0
11,15,52
88,18,2
98,90,6
48,102,37
50,112,63
92,79,36
83,11,9
22,25,98
57,56,28
52,79,40
22,89,37
56,102,62
89,69,39
33,94,51
67,7,17
51,98,26
74,43,18
88,91,98
31,94,89
15,26,51
9,54,34
56,4,111
16,80,37
51,80,12
8,8,64
86,79,14
20,25,48
96,32,21
101,93,14
83,2,53
109,91,88
97,72,91
57,32,16
9,41,30
1,6,6
4,86,5
7,109,85
59,96,14
104,79,80
106,71,68
102,91,16
61,79,73
84,82,108
31,10,84
55,95,27
6,1,6
58,77,59
57,103,108
70,19,87
106,10,43
68,23,95
99,1,99
82,82,57
45,24,63
38,2,76
55,26,74
21,52,75
48,21,104
60,106,32
46,3,25
72,87,49
30,20,35
71,77,43
110,49,79
72,70,68
65,25,43
4,15,60
38,28,47
71,90,62
108,49,94
0,63,0
4,29,3
35,49,20
20,53,43
85,72,18
97,80,76
102,78,46
57,7,60
0,36,0
14,38,80
106,86,76
4,109,97
15,62,26
110,68,22
75,38,25
7,44,82
57,89,101
71,34,41
68,38,98
109,37,78
53,0,0
59,35,31
102,1,102
20,17,1
102,13,83
45,87,73
36,104,15
48,59,7
42,70,2
51,10,58
47,85,40
42,63,47
65,66,109
66,103,18
48,80,111
75,87,84
91,107,19
110,63,37
99,4,57
67,37,106
63,8,52
72,47,107
96,86,7
58,32,48
58,84,13
101,90,50
31,17,75
53,77,13
100,44,106
15,55,34
33,57,73
37,43,9
74,98,20
20,88,65
76,63,42
108,2,103
82,17,38
90,69,108
95,68,19
19,104,55
79,55,51
10,55,98
111,108,10
86,109,108
90,45,95
66,86,26
27,16,93
26,109,9
66,82,101
0,51,0
86,75,9
103,90,4
38,32,86
21,51,54
71,50,47
33,100,23
44,97,87
82,25,16
78,72,79
74,89,32
106,44,31
76,25,92
84,74,1
5,28,27
103,22,6
4,61,18
51,102,4
92,33,98
29,56,42
26,28,50
89,66,111
82,65,19
65,17,88
17,51,76
74,27,77
89,107,31
1,24,24
60,75,93
95,38,107
46,76,106
64,31,63
51,42,108
105,27,10
32,0,0
51,108,84
2,79,45
89,103,14
42,52,37
58,64,96
109,73,47
0,83,0
33,60,59
100,47,67
109,10,73
42,17,36
3,59,64
55,93,30
25,90,103
36,26,32
8,10,80
0,55,0
36,18,83
86,103,44
107,95,108
79,56,17
13,99,44
71,108,97
14,107,29
91,6,94
54,31,92
50,37,42
103,6,53
26,78,107
13,23,73
18,98,69
60,11,95
20,99,59
27,46,112
69,12,37
45,52,80
93,67,16
20,8,47
100,82,64
10,86,69
60,54,76
